2025-08-10 06:44:21,669 - Rank 1 - Starting training on rank 1
2025-08-10 06:58:59,436 - Rank 1 - Starting training
2025-08-10 08:18:24,162 - Rank 1 - Validation Loss: 0.6192, Validation Accuracy: 0.7620
2025-08-10 08:20:23,300 - Rank 1 - Train Loss: 0.6715, Train Accuracy: 0.7425
2025-08-10 08:20:31,121 - Rank 1 - Validation Loss: 0.6078, Validation Accuracy: 0.7653
2025-08-10 08:22:30,469 - Rank 1 - Train Loss: 0.6602, Train Accuracy: 0.7464
2025-08-10 08:22:38,817 - Rank 1 - Validation Loss: 0.6039, Validation Accuracy: 0.7669
2025-08-10 08:24:42,076 - Rank 1 - Train Loss: 0.6543, Train Accuracy: 0.7482
2025-08-10 08:24:51,824 - Rank 1 - Validation Loss: 0.5941, Validation Accuracy: 0.7703
2025-08-10 08:26:58,279 - Rank 1 - Train Loss: 0.6482, Train Accuracy: 0.7504
2025-08-10 08:27:07,986 - Rank 1 - Validation Loss: 0.5922, Validation Accuracy: 0.7706
2025-08-10 08:29:10,473 - Rank 1 - Train Loss: 0.6413, Train Accuracy: 0.7526
2025-08-10 08:29:20,599 - Rank 1 - Validation Loss: 0.5814, Validation Accuracy: 0.7745
2025-08-10 08:31:23,818 - Rank 1 - Train Loss: 0.6350, Train Accuracy: 0.7554
2025-08-10 08:31:33,693 - Rank 1 - Validation Loss: 0.5842, Validation Accuracy: 0.7729
2025-08-10 08:33:40,664 - Rank 1 - Train Loss: 0.6293, Train Accuracy: 0.7567
2025-08-10 08:33:50,806 - Rank 1 - Validation Loss: 0.5574, Validation Accuracy: 0.7833
2025-08-10 08:35:56,422 - Rank 1 - Train Loss: 0.6222, Train Accuracy: 0.7589
2025-08-10 08:36:06,407 - Rank 1 - Validation Loss: 0.5584, Validation Accuracy: 0.7822
2025-08-10 08:38:12,973 - Rank 1 - Train Loss: 0.6186, Train Accuracy: 0.7602
2025-08-10 08:38:22,843 - Rank 1 - Validation Loss: 0.5641, Validation Accuracy: 0.7796
2025-08-10 08:40:28,426 - Rank 1 - Train Loss: 0.6135, Train Accuracy: 0.7618
2025-08-10 08:40:38,344 - Rank 1 - Validation Loss: 0.5490, Validation Accuracy: 0.7855
2025-08-10 08:42:46,380 - Rank 1 - Train Loss: 0.6105, Train Accuracy: 0.7627
2025-08-10 08:42:54,271 - Rank 1 - Validation Loss: 0.5426, Validation Accuracy: 0.7870
2025-08-10 08:44:49,459 - Rank 1 - Train Loss: 0.6055, Train Accuracy: 0.7646
2025-08-10 08:44:57,807 - Rank 1 - Validation Loss: 0.5442, Validation Accuracy: 0.7871
2025-08-10 08:46:56,887 - Rank 1 - Train Loss: 0.5981, Train Accuracy: 0.7671
2025-08-10 08:47:04,884 - Rank 1 - Validation Loss: 0.5368, Validation Accuracy: 0.7895
2025-08-10 08:49:05,236 - Rank 1 - Train Loss: 0.5953, Train Accuracy: 0.7679
2025-08-10 08:49:14,940 - Rank 1 - Validation Loss: 0.5315, Validation Accuracy: 0.7914
2025-08-10 08:51:20,025 - Rank 1 - Train Loss: 0.5886, Train Accuracy: 0.7700
2025-08-10 08:51:29,570 - Rank 1 - Validation Loss: 0.5269, Validation Accuracy: 0.7925
2025-08-10 08:53:43,379 - Rank 1 - Train Loss: 0.5852, Train Accuracy: 0.7711
2025-08-10 08:53:52,996 - Rank 1 - Validation Loss: 0.5269, Validation Accuracy: 0.7926
2025-08-10 08:55:59,315 - Rank 1 - Train Loss: 0.5773, Train Accuracy: 0.7741
2025-08-10 08:56:08,991 - Rank 1 - Validation Loss: 0.5261, Validation Accuracy: 0.7923
2025-08-10 08:58:40,949 - Rank 1 - Train Loss: 0.5740, Train Accuracy: 0.7753
2025-08-10 08:58:54,057 - Rank 1 - Validation Loss: 0.5101, Validation Accuracy: 0.7989
2025-08-10 09:00:58,793 - Rank 1 - Train Loss: 0.5708, Train Accuracy: 0.7762
2025-08-10 09:01:08,378 - Rank 1 - Validation Loss: 0.5062, Validation Accuracy: 0.7995
2025-08-10 09:03:15,078 - Rank 1 - Train Loss: 0.5664, Train Accuracy: 0.7778
2025-08-10 09:03:24,311 - Rank 1 - Validation Loss: 0.5006, Validation Accuracy: 0.8020
2025-08-10 09:05:28,241 - Rank 1 - Train Loss: 0.5644, Train Accuracy: 0.7785
2025-08-10 09:05:37,395 - Rank 1 - Validation Loss: 0.4978, Validation Accuracy: 0.8030
2025-08-10 09:07:43,346 - Rank 1 - Train Loss: 0.5591, Train Accuracy: 0.7805
2025-08-10 09:07:53,253 - Rank 1 - Validation Loss: 0.4968, Validation Accuracy: 0.8029
2025-08-10 09:09:56,971 - Rank 1 - Train Loss: 0.5569, Train Accuracy: 0.7805
2025-08-10 09:10:06,739 - Rank 1 - Validation Loss: 0.4911, Validation Accuracy: 0.8047
2025-08-10 09:12:11,772 - Rank 1 - Train Loss: 0.5530, Train Accuracy: 0.7824
2025-08-10 09:12:21,912 - Rank 1 - Validation Loss: 0.4936, Validation Accuracy: 0.8040
2025-08-10 09:14:23,058 - Rank 1 - Train Loss: 0.5487, Train Accuracy: 0.7839
2025-08-10 09:14:33,223 - Rank 1 - Validation Loss: 0.4907, Validation Accuracy: 0.8047
2025-08-10 09:16:36,995 - Rank 1 - Train Loss: 0.5447, Train Accuracy: 0.7852
2025-08-10 09:16:47,288 - Rank 1 - Validation Loss: 0.4904, Validation Accuracy: 0.8048
2025-08-10 09:18:52,878 - Rank 1 - Train Loss: 0.5425, Train Accuracy: 0.7859
2025-08-10 09:19:03,179 - Rank 1 - Validation Loss: 0.4756, Validation Accuracy: 0.8099
2025-08-10 09:21:09,092 - Rank 1 - Train Loss: 0.5389, Train Accuracy: 0.7871
2025-08-10 09:21:18,652 - Rank 1 - Validation Loss: 0.4809, Validation Accuracy: 0.8081
2025-08-10 09:23:53,623 - Rank 1 - Train Loss: 0.5339, Train Accuracy: 0.7891
2025-08-10 09:24:06,871 - Rank 1 - Validation Loss: 0.4757, Validation Accuracy: 0.8096
2025-08-10 09:26:40,645 - Rank 1 - Train Loss: 0.5298, Train Accuracy: 0.7901
2025-08-10 09:26:53,678 - Rank 1 - Validation Loss: 0.4719, Validation Accuracy: 0.8109
2025-08-10 09:29:28,174 - Rank 1 - Train Loss: 0.5313, Train Accuracy: 0.7902
2025-08-10 09:29:41,266 - Rank 1 - Validation Loss: 0.4908, Validation Accuracy: 0.8036
2025-08-10 09:32:01,671 - Rank 1 - Train Loss: 0.5282, Train Accuracy: 0.7909
2025-08-10 09:32:09,775 - Rank 1 - Validation Loss: 0.4637, Validation Accuracy: 0.8138
2025-08-10 09:34:08,767 - Rank 1 - Train Loss: 0.5214, Train Accuracy: 0.7931
2025-08-10 09:34:16,781 - Rank 1 - Validation Loss: 0.4744, Validation Accuracy: 0.8099
2025-08-10 09:36:15,392 - Rank 1 - Train Loss: 0.5206, Train Accuracy: 0.7936
2025-08-10 09:36:23,562 - Rank 1 - Validation Loss: 0.4540, Validation Accuracy: 0.8172
2025-08-10 09:38:23,813 - Rank 1 - Train Loss: 0.5165, Train Accuracy: 0.7947
2025-08-10 09:38:32,232 - Rank 1 - Validation Loss: 0.4607, Validation Accuracy: 0.8146
2025-08-10 09:40:32,457 - Rank 1 - Train Loss: 0.5148, Train Accuracy: 0.7955
2025-08-10 09:40:40,437 - Rank 1 - Validation Loss: 0.4516, Validation Accuracy: 0.8181
