2025-08-10 06:44:22,005 - Rank 5 - Starting training on rank 5
2025-08-10 06:58:59,644 - Rank 5 - Starting training
2025-08-10 06:59:20,096 - Rank 5 - No checkpoint found at checkpoints/macformer_checkpoint.pth, starting from scratch
2025-08-10 07:01:53,033 - Rank 5 - Train Loss: 1.6544, Train Accuracy: 0.4875
2025-08-10 07:02:04,838 - Rank 5 - Validation Loss: 1.3401, Validation Accuracy: 0.5505
2025-08-10 07:04:16,264 - Rank 5 - Starting training
2025-08-10 07:04:37,700 - Rank 5 - No checkpoint found at checkpoints/macformer_checkpoint.pth, starting from scratch
2025-08-10 07:06:58,016 - Rank 5 - Train Loss: 1.6545, Train Accuracy: 0.4875
2025-08-10 07:07:08,044 - Rank 5 - Validation Loss: 1.3402, Validation Accuracy: 0.5506
2025-08-10 07:09:22,885 - Rank 5 - Train Loss: 1.2887, Train Accuracy: 0.5605
2025-08-10 07:09:34,654 - Rank 5 - Validation Loss: 1.2139, Validation Accuracy: 0.5778
2025-08-10 07:12:04,854 - Rank 5 - Train Loss: 1.1904, Train Accuracy: 0.5844
2025-08-10 07:12:15,308 - Rank 5 - Validation Loss: 1.1456, Validation Accuracy: 0.5972
2025-08-10 07:14:45,592 - Rank 5 - Train Loss: 1.1231, Train Accuracy: 0.6028
2025-08-10 07:14:55,939 - Rank 5 - Validation Loss: 1.0897, Validation Accuracy: 0.6122
2025-08-10 07:17:26,313 - Rank 5 - Train Loss: 1.0768, Train Accuracy: 0.6153
2025-08-10 07:17:37,699 - Rank 5 - Validation Loss: 1.0293, Validation Accuracy: 0.6285
2025-08-10 07:20:10,869 - Rank 5 - Train Loss: 1.0302, Train Accuracy: 0.6285
2025-08-10 07:20:22,808 - Rank 5 - Validation Loss: 0.9938, Validation Accuracy: 0.6395
2025-08-10 07:23:00,469 - Rank 5 - Train Loss: 0.9988, Train Accuracy: 0.6368
2025-08-10 07:23:14,832 - Rank 5 - Validation Loss: 0.9499, Validation Accuracy: 0.6525
2025-08-10 07:26:16,573 - Rank 5 - Train Loss: 0.9665, Train Accuracy: 0.6464
2025-08-10 07:26:31,592 - Rank 5 - Validation Loss: 0.9191, Validation Accuracy: 0.6632
2025-08-10 07:29:30,747 - Rank 5 - Train Loss: 0.9413, Train Accuracy: 0.6541
2025-08-10 07:29:45,415 - Rank 5 - Validation Loss: 0.8853, Validation Accuracy: 0.6739
2025-08-10 07:32:29,066 - Rank 5 - Train Loss: 0.9152, Train Accuracy: 0.6622
2025-08-10 07:32:38,975 - Rank 5 - Validation Loss: 0.8895, Validation Accuracy: 0.6723
2025-08-10 07:34:47,496 - Rank 5 - Train Loss: 0.8936, Train Accuracy: 0.6690
2025-08-10 07:34:57,519 - Rank 5 - Validation Loss: 0.8542, Validation Accuracy: 0.6846
2025-08-10 07:37:04,042 - Rank 5 - Train Loss: 0.8744, Train Accuracy: 0.6754
2025-08-10 07:37:14,320 - Rank 5 - Validation Loss: 0.8204, Validation Accuracy: 0.6939
2025-08-10 07:39:20,769 - Rank 5 - Train Loss: 0.8562, Train Accuracy: 0.6814
2025-08-10 07:39:30,331 - Rank 5 - Validation Loss: 0.8373, Validation Accuracy: 0.6917
2025-08-10 07:41:37,015 - Rank 5 - Train Loss: 0.8401, Train Accuracy: 0.6865
