Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy
1,1.6609811427887906,0.4847416986454066,1.3294837024476793,0.5534888296666907
Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy
1,1.6610118077042397,0.48473684837116765,1.3296524312761095,0.5535327485678047
2,1.2894771654954118,0.5607787508447849,1.2069688320159913,0.5803267917594087
3,1.188168448678563,0.5855424666306016,1.1399150239096747,0.5988430004690538
4,1.1246669151809778,0.6026456477221233,1.0847617970572578,0.6135101566850716
5,1.0742730371068032,0.6158133421781086,1.0249549587567648,0.6305577173414659
6,1.0322682803936218,0.6277865391774048,0.9906833622190687,0.6407820375207955
7,0.9988022249066428,0.6371658330716584,0.947279487715827,0.653588789085626
8,0.9658885246582245,0.6465177537873905,0.9171820402145385,0.6640520280870157
9,0.939802663044983,0.6546796487933866,0.8844112091594272,0.6740022943233942
10,0.9142358919207969,0.662708297307156,0.8883493039343092,0.6726004029998366
11,0.8923213183879852,0.6696603665208359,0.8536751124593946,0.6850031006744186
12,0.8751422635624918,0.6749389751369679,0.8203970021671719,0.6942190428841718
13,0.8601420906822334,0.680357409468409,0.836661261982388,0.6924008003780538
14,0.8407286211345972,0.6863812759746399,0.7866659694247775,0.7062563353014857
15,0.8217171728610992,0.6923506519438422,0.7628304693433974,0.7138244403414431
16,0.8084348416730259,0.6969754968606591,0.7617984016736349,0.7155566018013777
17,0.7938323637072959,0.701878145894373,0.742804843849606,0.7211747076318753
18,0.783036229650626,0.7055527995386253,0.7214194920327929,0.7275552455857113
19,0.7698038401228658,0.7097207242654937,0.7113510502709283,0.7312022711342144
20,0.7591961193620489,0.7135580985269538,0.6930719534556071,0.7370417282263264
21,0.7480127546894416,0.7170899876036493,0.696117267343733,0.7358014584588682
22,0.7377768245975623,0.7205156226495235,0.6811285919613308,0.7403567268824081
23,0.7256612335697988,0.7249765685694142,0.6708678642908732,0.7439721308221091
24,0.7192864608898591,0.7264074338207777,0.6680337561501397,0.7458957786909005
25,0.711614676071017,0.7291467386189769,0.6681262916988797,0.7465563189636545
26,0.6995235822173986,0.7330221689195482,0.6356073194079929,0.7565803689539045
27,0.6911245705036635,0.7360186615294709,0.6314599964353773,0.7574657740003619
28,0.685474735967229,0.7380908041595002,0.6273453222380744,0.7590819895613555
29,0.6755729434865244,0.7410959163131564,0.619592469268375,0.7615467182918709
