2025-08-10 06:44:21,858 - Rank 3 - Starting training on rank 3
2025-08-10 06:58:59,750 - Rank 3 - Starting training
2025-08-10 06:59:20,090 - Rank 3 - No checkpoint found at checkpoints/macformer_checkpoint.pth, starting from scratch
2025-08-10 07:01:53,033 - Rank 3 - Train Loss: 1.6557, Train Accuracy: 0.4867
2025-08-10 07:02:04,626 - Rank 3 - Validation Loss: 1.3457, Validation Accuracy: 0.5497
2025-08-10 07:04:16,040 - Rank 3 - Starting training
2025-08-10 07:04:37,656 - Rank 3 - No checkpoint found at checkpoints/macformer_checkpoint.pth, starting from scratch
2025-08-10 07:06:58,015 - Rank 3 - Train Loss: 1.6557, Train Accuracy: 0.4867
2025-08-10 07:07:07,239 - Rank 3 - Validation Loss: 1.3459, Validation Accuracy: 0.5497
2025-08-10 07:09:22,886 - Rank 3 - Train Loss: 1.2929, Train Accuracy: 0.5593
2025-08-10 07:09:34,742 - Rank 3 - Validation Loss: 1.2218, Validation Accuracy: 0.5762
2025-08-10 07:12:04,855 - Rank 3 - Train Loss: 1.1885, Train Accuracy: 0.5854
2025-08-10 07:12:16,161 - Rank 3 - Validation Loss: 1.1532, Validation Accuracy: 0.5950
2025-08-10 07:14:45,592 - Rank 3 - Train Loss: 1.1219, Train Accuracy: 0.6032
2025-08-10 07:14:56,975 - Rank 3 - Validation Loss: 1.0968, Validation Accuracy: 0.6098
2025-08-10 07:17:26,314 - Rank 3 - Train Loss: 1.0757, Train Accuracy: 0.6154
2025-08-10 07:17:38,752 - Rank 3 - Validation Loss: 1.0357, Validation Accuracy: 0.6272
2025-08-10 07:20:10,866 - Rank 3 - Train Loss: 1.0314, Train Accuracy: 0.6279
2025-08-10 07:20:23,576 - Rank 3 - Validation Loss: 1.0006, Validation Accuracy: 0.6376
2025-08-10 07:23:00,471 - Rank 3 - Train Loss: 0.9983, Train Accuracy: 0.6376
2025-08-10 07:23:14,882 - Rank 3 - Validation Loss: 0.9566, Validation Accuracy: 0.6509
2025-08-10 07:26:16,572 - Rank 3 - Train Loss: 0.9670, Train Accuracy: 0.6465
2025-08-10 07:26:30,782 - Rank 3 - Validation Loss: 0.9257, Validation Accuracy: 0.6618
2025-08-10 07:29:30,747 - Rank 3 - Train Loss: 0.9377, Train Accuracy: 0.6554
2025-08-10 07:29:45,300 - Rank 3 - Validation Loss: 0.8923, Validation Accuracy: 0.6725
2025-08-10 07:32:29,071 - Rank 3 - Train Loss: 0.9164, Train Accuracy: 0.6622
2025-08-10 07:32:38,523 - Rank 3 - Validation Loss: 0.8960, Validation Accuracy: 0.6712
2025-08-10 07:34:47,494 - Rank 3 - Train Loss: 0.8952, Train Accuracy: 0.6690
2025-08-10 07:34:57,526 - Rank 3 - Validation Loss: 0.8612, Validation Accuracy: 0.6829
2025-08-10 07:37:04,039 - Rank 3 - Train Loss: 0.8744, Train Accuracy: 0.6757
2025-08-10 07:37:14,399 - Rank 3 - Validation Loss: 0.8273, Validation Accuracy: 0.6923
2025-08-10 07:39:20,769 - Rank 3 - Train Loss: 0.8568, Train Accuracy: 0.6810
2025-08-10 07:39:31,025 - Rank 3 - Validation Loss: 0.8431, Validation Accuracy: 0.6904
2025-08-10 07:41:37,015 - Rank 3 - Train Loss: 0.8400, Train Accuracy: 0.6864
2025-08-10 07:41:47,057 - Rank 3 - Validation Loss: 0.7931, Validation Accuracy: 0.7041
2025-08-10 07:43:52,432 - Rank 3 - Train Loss: 0.8232, Train Accuracy: 0.6920
2025-08-10 07:44:02,079 - Rank 3 - Validation Loss: 0.7692, Validation Accuracy: 0.7121
2025-08-10 07:46:15,994 - Rank 3 - Train Loss: 0.8088, Train Accuracy: 0.6971
2025-08-10 07:46:30,666 - Rank 3 - Validation Loss: 0.7677, Validation Accuracy: 0.7139
2025-08-10 07:49:41,672 - Rank 3 - Train Loss: 0.7969, Train Accuracy: 0.7012
2025-08-10 07:49:59,147 - Rank 3 - Validation Loss: 0.7486, Validation Accuracy: 0.7198
2025-08-10 07:53:30,819 - Rank 3 - Train Loss: 0.7811, Train Accuracy: 0.7063
2025-08-10 07:53:47,576 - Rank 3 - Validation Loss: 0.7272, Validation Accuracy: 0.7261
2025-08-10 07:56:56,605 - Rank 3 - Train Loss: 0.7715, Train Accuracy: 0.7095
2025-08-10 07:57:09,757 - Rank 3 - Validation Loss: 0.7170, Validation Accuracy: 0.7297
2025-08-10 07:59:17,734 - Rank 3 - Train Loss: 0.7602, Train Accuracy: 0.7128
2025-08-10 07:59:25,952 - Rank 3 - Validation Loss: 0.6981, Validation Accuracy: 0.7357
2025-08-10 08:01:23,775 - Rank 3 - Train Loss: 0.7484, Train Accuracy: 0.7173
2025-08-10 08:01:31,436 - Rank 3 - Validation Loss: 0.7004, Validation Accuracy: 0.7345
2025-08-10 08:03:31,364 - Rank 3 - Train Loss: 0.7380, Train Accuracy: 0.7201
2025-08-10 08:03:39,393 - Rank 3 - Validation Loss: 0.6854, Validation Accuracy: 0.7395
2025-08-10 08:05:38,114 - Rank 3 - Train Loss: 0.7287, Train Accuracy: 0.7235
2025-08-10 08:05:45,891 - Rank 3 - Validation Loss: 0.6750, Validation Accuracy: 0.7434
2025-08-10 08:07:45,493 - Rank 3 - Train Loss: 0.7196, Train Accuracy: 0.7269
2025-08-10 08:07:53,731 - Rank 3 - Validation Loss: 0.6720, Validation Accuracy: 0.7453
2025-08-10 08:09:53,369 - Rank 3 - Train Loss: 0.7098, Train Accuracy: 0.7298
2025-08-10 08:10:01,049 - Rank 3 - Validation Loss: 0.6717, Validation Accuracy: 0.7457
2025-08-10 08:12:00,384 - Rank 3 - Train Loss: 0.7018, Train Accuracy: 0.7319
2025-08-10 08:12:08,741 - Rank 3 - Validation Loss: 0.6392, Validation Accuracy: 0.7561
2025-08-10 08:14:02,769 - Rank 3 - Train Loss: 0.6920, Train Accuracy: 0.7357
2025-08-10 08:14:10,869 - Rank 3 - Validation Loss: 0.6351, Validation Accuracy: 0.7572
2025-08-10 08:16:09,798 - Rank 3 - Train Loss: 0.6830, Train Accuracy: 0.7387
2025-08-10 08:16:18,384 - Rank 3 - Validation Loss: 0.6306, Validation Accuracy: 0.7590
2025-08-10 08:18:15,469 - Rank 3 - Train Loss: 0.6765, Train Accuracy: 0.7409
2025-08-10 08:18:24,163 - Rank 3 - Validation Loss: 0.6227, Validation Accuracy: 0.7616
2025-08-10 08:20:23,300 - Rank 3 - Train Loss: 0.6695, Train Accuracy: 0.7429
2025-08-10 08:20:31,123 - Rank 3 - Validation Loss: 0.6113, Validation Accuracy: 0.7655
2025-08-10 08:22:30,469 - Rank 3 - Train Loss: 0.6625, Train Accuracy: 0.7456
2025-08-10 08:22:38,667 - Rank 3 - Validation Loss: 0.6076, Validation Accuracy: 0.7666
2025-08-10 08:24:42,076 - Rank 3 - Train Loss: 0.6563, Train Accuracy: 0.7477
2025-08-10 08:24:51,771 - Rank 3 - Validation Loss: 0.5975, Validation Accuracy: 0.7701
2025-08-10 08:26:58,279 - Rank 3 - Train Loss: 0.6475, Train Accuracy: 0.7504
2025-08-10 08:27:07,554 - Rank 3 - Validation Loss: 0.5955, Validation Accuracy: 0.7704
2025-08-10 08:29:10,471 - Rank 3 - Train Loss: 0.6431, Train Accuracy: 0.7523
2025-08-10 08:29:20,449 - Rank 3 - Validation Loss: 0.5848, Validation Accuracy: 0.7745
2025-08-10 08:31:23,818 - Rank 3 - Train Loss: 0.6372, Train Accuracy: 0.7542
2025-08-10 08:31:33,626 - Rank 3 - Validation Loss: 0.5877, Validation Accuracy: 0.7723
