2025-08-10 06:44:21,781 - Rank 4 - Starting training on rank 4
2025-08-10 06:58:59,511 - Rank 4 - Starting training
2025-08-10 06:59:20,065 - Rank 4 - No checkpoint found at checkpoints/macformer_checkpoint.pth, starting from scratch
2025-08-10 07:01:53,033 - Rank 4 - Train Loss: 1.6560, Train Accuracy: 0.4866
2025-08-10 07:02:05,247 - Rank 4 - Validation Loss: 1.3358, Validation Accuracy: 0.5517
2025-08-10 07:04:16,254 - Rank 4 - Starting training
2025-08-10 07:04:37,725 - Rank 4 - No checkpoint found at checkpoints/macformer_checkpoint.pth, starting from scratch
2025-08-10 07:06:58,016 - Rank 4 - Train Loss: 1.6560, Train Accuracy: 0.4866
2025-08-10 07:07:07,259 - Rank 4 - Validation Loss: 1.3360, Validation Accuracy: 0.5517
2025-08-10 07:09:22,889 - Rank 4 - Train Loss: 1.2912, Train Accuracy: 0.5600
2025-08-10 07:09:34,354 - Rank 4 - Validation Loss: 1.2122, Validation Accuracy: 0.5784
2025-08-10 07:12:04,854 - Rank 4 - Train Loss: 1.1877, Train Accuracy: 0.5858
2025-08-10 07:12:16,009 - Rank 4 - Validation Loss: 1.1443, Validation Accuracy: 0.5976
2025-08-10 07:14:45,592 - Rank 4 - Train Loss: 1.1248, Train Accuracy: 0.6024
2025-08-10 07:14:56,150 - Rank 4 - Validation Loss: 1.0883, Validation Accuracy: 0.6124
2025-08-10 07:17:26,312 - Rank 4 - Train Loss: 1.0731, Train Accuracy: 0.6165
2025-08-10 07:17:38,079 - Rank 4 - Validation Loss: 1.0279, Validation Accuracy: 0.6298
2025-08-10 07:20:10,866 - Rank 4 - Train Loss: 1.0343, Train Accuracy: 0.6269
2025-08-10 07:20:22,974 - Rank 4 - Validation Loss: 0.9939, Validation Accuracy: 0.6396
2025-08-10 07:23:00,469 - Rank 4 - Train Loss: 0.9965, Train Accuracy: 0.6381
2025-08-10 07:23:14,865 - Rank 4 - Validation Loss: 0.9503, Validation Accuracy: 0.6525
2025-08-10 07:26:16,575 - Rank 4 - Train Loss: 0.9644, Train Accuracy: 0.6469
2025-08-10 07:26:30,688 - Rank 4 - Validation Loss: 0.9205, Validation Accuracy: 0.6627
2025-08-10 07:29:30,749 - Rank 4 - Train Loss: 0.9393, Train Accuracy: 0.6550
2025-08-10 07:29:45,130 - Rank 4 - Validation Loss: 0.8876, Validation Accuracy: 0.6731
2025-08-10 07:32:29,073 - Rank 4 - Train Loss: 0.9165, Train Accuracy: 0.6622
2025-08-10 07:32:38,977 - Rank 4 - Validation Loss: 0.8918, Validation Accuracy: 0.6716
2025-08-10 07:34:47,494 - Rank 4 - Train Loss: 0.8967, Train Accuracy: 0.6684
2025-08-10 07:34:57,719 - Rank 4 - Validation Loss: 0.8576, Validation Accuracy: 0.6832
2025-08-10 07:37:04,035 - Rank 4 - Train Loss: 0.8759, Train Accuracy: 0.6746
2025-08-10 07:37:14,444 - Rank 4 - Validation Loss: 0.8237, Validation Accuracy: 0.6931
2025-08-10 07:39:20,767 - Rank 4 - Train Loss: 0.8570, Train Accuracy: 0.6809
2025-08-10 07:39:31,269 - Rank 4 - Validation Loss: 0.8406, Validation Accuracy: 0.6910
