2025-08-10 06:44:21,639 - Rank 2 - Starting training on rank 2
2025-08-10 06:58:59,559 - Rank 2 - Starting training
2025-08-10 06:59:20,052 - Rank 2 - No checkpoint found at checkpoints/macformer_checkpoint.pth, starting from scratch
2025-08-10 07:01:53,030 - Rank 2 - Train Loss: 1.6544, Train Accuracy: 0.4866
2025-08-10 07:02:05,409 - Rank 2 - Validation Loss: 1.3376, Validation Accuracy: 0.5510
2025-08-10 07:04:16,186 - Rank 2 - Starting training
2025-08-10 07:04:37,686 - Rank 2 - No checkpoint found at checkpoints/macformer_checkpoint.pth, starting from scratch
2025-08-10 07:06:58,017 - Rank 2 - Train Loss: 1.6544, Train Accuracy: 0.4867
2025-08-10 07:07:08,214 - Rank 2 - Validation Loss: 1.3378, Validation Accuracy: 0.5510
2025-08-10 07:09:22,890 - Rank 2 - Train Loss: 1.2929, Train Accuracy: 0.5599
2025-08-10 07:09:34,164 - Rank 2 - Validation Loss: 1.2146, Validation Accuracy: 0.5769
2025-08-10 07:12:04,854 - Rank 2 - Train Loss: 1.1886, Train Accuracy: 0.5856
2025-08-10 07:12:15,414 - Rank 2 - Validation Loss: 1.1467, Validation Accuracy: 0.5953
2025-08-10 07:14:45,591 - Rank 2 - Train Loss: 1.1257, Train Accuracy: 0.6016
2025-08-10 07:14:55,688 - Rank 2 - Validation Loss: 1.0906, Validation Accuracy: 0.6104
2025-08-10 07:17:26,313 - Rank 2 - Train Loss: 1.0738, Train Accuracy: 0.6164
2025-08-10 07:17:37,348 - Rank 2 - Validation Loss: 1.0298, Validation Accuracy: 0.6280
2025-08-10 07:20:10,866 - Rank 2 - Train Loss: 1.0333, Train Accuracy: 0.6272
2025-08-10 07:20:22,928 - Rank 2 - Validation Loss: 0.9938, Validation Accuracy: 0.6389
2025-08-10 07:23:00,472 - Rank 2 - Train Loss: 0.9962, Train Accuracy: 0.6380
2025-08-10 07:23:14,606 - Rank 2 - Validation Loss: 0.9501, Validation Accuracy: 0.6517
2025-08-10 07:26:16,575 - Rank 2 - Train Loss: 0.9680, Train Accuracy: 0.6468
2025-08-10 07:26:31,274 - Rank 2 - Validation Loss: 0.9195, Validation Accuracy: 0.6622
2025-08-10 07:29:30,747 - Rank 2 - Train Loss: 0.9398, Train Accuracy: 0.6549
2025-08-10 07:29:45,203 - Rank 2 - Validation Loss: 0.8859, Validation Accuracy: 0.6729
2025-08-10 07:32:29,076 - Rank 2 - Train Loss: 0.9170, Train Accuracy: 0.6620
2025-08-10 07:32:38,976 - Rank 2 - Validation Loss: 0.8894, Validation Accuracy: 0.6712
2025-08-10 07:34:47,489 - Rank 2 - Train Loss: 0.8928, Train Accuracy: 0.6694
2025-08-10 07:34:58,031 - Rank 2 - Validation Loss: 0.8543, Validation Accuracy: 0.6831
2025-08-10 07:37:04,039 - Rank 2 - Train Loss: 0.8763, Train Accuracy: 0.6750
2025-08-10 07:37:14,594 - Rank 2 - Validation Loss: 0.8210, Validation Accuracy: 0.6927
