Drug;Neutral SMILES;SMILES at pH 7;Category;;;;;;
CHEMBL1222446;;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OC(=O)CCCCOC#Cc3ccc4N(CC)C=C(C([O-])=O)C(=O)c4c3)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@](C)(O)C[C@@H](C)C[NH+](C)[C@H](C)[C@@H](O)[C@]1(C)O;CHEMBL;;;;;;
CHEMBL1222510;;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OC(=O)CCCCCOCCCc3ccc4N(CC)C=C(C([O-])=O)C(=O)c4c3)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@](C)(O)C[C@@H](C)C[NH+](C)[C@H](C)[C@@H](O)[C@]1(C)O;CHEMBL;;;;;;
CHEMBL1222511;;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OC(=O)CCCCCOC#Cc3ccc4N(CC)C=C(C([O-])=O)C(=O)c4c3)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@](C)(O)C[C@@H](C)C[NH+](C)[C@H](C)[C@@H](OC)[C@]1(C)O;CHEMBL;;;;;;
CHEMBL1222512;;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OC(=O)CCCCCOCCCc3ccc4N(CC)C=C(C([O-])=O)C(=O)c4c3)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@](C)(O)C[C@@H](C)C[NH+](C)[C@H](C)[C@@H](OC)[C@]1(C)O;CHEMBL;;;;;;
CHEMBL1222513;;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OC(=O)CCCCOCC#Cc3ccc4N(CC)C=C(C([O-])=O)C(=O)c4c3)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@](C)(O)C[C@@H](C)C[NH+](C)[C@H](C)[C@@H](O)[C@]1(C)O;CHEMBL;;;;;;
CHEMBL1222514;;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OC(=O)CCCCOCCCc3ccc4N(CC)C=C(C([O-])=O)C(=O)c4c3)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@](C)(O)C[C@@H](C)C[NH+](C)[C@H](C)[C@@H](O)[C@]1(C)O;CHEMBL;;;;;;
CHEMBL1222515;;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OC(=O)CCCCCOCC#Cc3ccc4N(CC)C=C(C([O-])=O)C(=O)c4c3)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC;CHEMBL;;;;;;
CHEMBL1222516;;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OC(=O)CCCCCOCCCc3ccc4N(CC)C=C(C([O-])=O)C(=O)c4c3)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC;CHEMBL;;;;;;
CHEMBL1222517;;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OC(=O)CCCCOCC#Cc3ccc4N(CC)C=C(Cc4c3)C([O-])=O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC;CHEMBL;;;;;;
CHEMBL1222518;;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OC(=O)CCCCOCCCc3ccc4N(CC)C=C(Cc4c3)C([O-])=O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC;CHEMBL;;;;;;
CHEMBL1222575;;COc1ccc(cc1)[C@H]1CC(=O)O[C@@H](C)C[C@@H](C)\C=C(C)\C[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](Cc2c(Br)[nH]c3ccccc23)C(=O)N1;CHEMBL;;;;;;
CHEMBL1222576;;COc1ccc(cc1)[C@H]1CC(=O)O[C@@H](C)C[C@@H](C)\C=C(C)\C[C@@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](Cc2c(Br)[nH]c3ccccc23)C(=O)N1;CHEMBL;;;;;;
CHEMBL1222577;;COc1ccc(cc1)[C@H]1CC(=O)O[C@@H](C)C[C@@H](C)\C=C(C)\CCC(=O)N[C@@H](C)C(=O)N(C)[C@H](Cc2c(Br)[nH]c3ccccc23)C(=O)N1;CHEMBL;;;;;;
CHEMBL1222578;;C[C@H]1C[C@@H](C)\C=C(C)\CCC(=O)N[C@@H](C)C(=O)N(C)[C@H](Cc2c(Br)[nH]c3ccccc23)C(=O)N[C@H](CC(=O)O1)c1ccccc1;CHEMBL;;;;;;
CHEMBL1222579;;COc1ccc(cc1)[C@H]1CC(=O)O[C@@H](C)C[C@@H](C)\C=C(C)\CCC(=O)N[C@@H](C)C(=O)N[C@H](Cc2c(Br)[nH]c3ccccc23)C(=O)N1;CHEMBL;;;;;;
CHEMBL1222580;;COc1ccc(cc1)[C@H]1CC(=O)O[C@@H](C)C[C@@H](C)\C=C(C)\CCC(=O)N[C@@H](C)C(=O)N(C)[C@H](Cc2c[nH]c3ccccc23)C(=O)N1;CHEMBL;;;;;;
CHEMBL1222581;;COc1ccc(cc1)[C@H]1CC(=O)O[C@@H](C)C[C@@H](C)\C=C(C)\CCC(=O)NCC(=O)N(C)[C@H](Cc2c(Br)[nH]c3ccccc23)C(=O)N1;CHEMBL;;;;;;
CHEMBL1222582;;COc1ccc(cc1)[C@H]1CC(=O)NC(C)C[C@@H](C)\C=C(C)\CCC(=O)N[C@@H](C)C(=O)N(C)[C@H](Cc2c(Br)[nH]c3ccccc23)C(=O)N1;CHEMBL;;;;;;
CHEMBL122277;;C(N1CCC[NH2+]CCNCCC[NH2+]CC1)c1ccccc1CN1CCC[NH2+]CCNCCC[NH2+]CC1;CHEMBL;;;;;;
CHEMBL122283;;CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@](C)(C[C@@H](C)\C(=N/OCC[NH2+]CCCOCCC[NH2+]Cc2ccccc2)[C@H](C)[C@@H](O)[C@]1(C)O)OC;CHEMBL;;;;;;
CHEMBL122321;;[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H]1CSC[C@@H](NC(=O)[C@H](Cc2ccccc2)NC(=O)CNC1=O)C([O-])=O;CHEMBL;;;;;;
CHEMBL1223226;;C[C@@H](O)[C@@H](CO)NC(=O)[C@@H]1C\C=C/C[C@H](NC(=O)[C@H]([NH3+])Cc2ccccc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](Cc2cc3ccccc3[nH]2)C(=O)N[C@@H](CCCC[NH3+])C(=O)N[C@@H]([C@@H](C)O)C(=O)N1;CHEMBL;;;;;;
CHEMBL1223227;;C[C@@H](O)[C@@H](CO)NC(=O)[C@@H]1C\C=C\C[C@H](NC(=O)[C@H]([NH3+])Cc2ccccc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](Cc2cc3ccccc3[nH]2)C(=O)N[C@@H](CCCC[NH3+])C(=O)N[C@@H](Cc2ccc(OC(=O)c3ccccc3)cc2)C(=O)N1;CHEMBL;;;;;;
CHEMBL1223228;;C[C@@H](O)[C@@H](CO)NC(=O)[C@@H]1C\C=C/C[C@H](NC(=O)[C@H]([NH3+])Cc2ccccc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](Cc2cc3ccccc3[nH]2)C(=O)N[C@@H](CCCC[NH3+])C(=O)N[C@@H](Cc2ccc(OC(=O)c3ccccc3)cc2)C(=O)N1;CHEMBL;;;;;;
CHEMBL1223229;;C[C@@H](O)[C@@H](CO)NC(=O)[C@@H]1C\C=C/C[C@H](NC(=O)[C@H]([NH3+])Cc2ccccc2)C(=O)N[C@@H](Cc2cccc3ccccc23)C(=O)N[C@H](Cc2cc3ccccc3[nH]2)C(=O)N[C@@H](CCCC[NH3+])C(=O)N[C@@H]([C@@H](C)O)C(=O)N1;CHEMBL;;;;;;
CHEMBL1223230;;C[C@@H](O)[C@@H](CO)NC(=O)[C@@H]1C\C=C\C[C@H](NC(=O)[C@H]([NH3+])Cc2ccccc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](Cc2cc3ccccc3[nH]2)C(=O)N[C@@H](CCCC[NH3+])C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N1;CHEMBL;;;;;;
CHEMBL1223231;;C[C@@H](O)[C@@H](CO)NC(=O)[C@@H]1C\C=C/C[C@H](NC(=O)[C@H]([NH3+])Cc2ccccc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](Cc2cc3ccccc3[nH]2)C(=O)N[C@@H](CCCC[NH3+])C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N1;CHEMBL;;;;;;
CHEMBL1223232;;C[C@@H](O)[C@@H](CO)NC(=O)[C@@H]1C\C=C/C[C@H](NC(=O)[C@H]([NH3+])Cc2ccccc2)C(=O)N[C@@H](Cc2cccc3ccccc23)C(=O)N[C@H](Cc2cc3ccccc3[nH]2)C(=O)N[C@@H](CCCC[NH3+])C(=O)N[C@@H](Cc2ccc(OC(=O)c3ccccc3)cc2)C(=O)N1;CHEMBL;;;;;;
CHEMBL1223734;;CO[C@H]1[C@H](C)O[C@@H](O[C@@H]2C[C@H]3O[C@@](O)(C2)[C@H](C)C(=O)O[C@H](C[C@@H](C)\C=C/C[C@H](O)[C@@H]3C)\C=C\C=C\Br)[C@H](OC)[C@@H]1OC;CHEMBL;;;;;;
CHEMBL1223735;;CO[C@H]1[C@H](C)O[C@@H](O[C@@H]2C[C@H]3O[C@@](O)(C2)[C@@H](C)C(=O)O[C@H](C[C@@H](C)\C=C/C[C@H](O)[C@@H]3C)\C=C\C=C\Br)[C@H](OC)[C@@H]1OC;CHEMBL;;;;;;
CHEMBL1223736;;CO[C@H]1[C@H](C)O[C@@H](O[C@@H]2C[C@@H]3CC[C@@H](C)[C@H](O)C[C@@](C)(CC\C=C\C=C\Br)OC(=O)C[C@](O)(C2)O3)[C@H](OC)[C@@H]1OC;CHEMBL;;;;;;
CHEMBL1223737;;CO[C@H]1[C@H](C)O[C@@H](O[C@@H]2C[C@@H]3CC[C@@H](C)[C@H](O)C[C@@](C)(CC\C=C\C=C/Br)OC(=O)C[C@](O)(C2)O3)[C@H](OC)[C@@H]1OC;CHEMBL;;;;;;
CHEMBL1223738;;CC[C@H](C)[C@H]1NC(=O)CNC(=O)c2csc(n2)[C@@H](OC(=O)C(C)(C)[C@H](CCCC(C)(Cl)Cl)OC(=O)c2csc1n2)C(C)C;CHEMBL;;;;;;
CHEMBL1223739;;CCCC(=O)N[C@@H](C(C)C)[C@@H](CC(=O)O[C@@H]1COC(=O)c2csc(n2)[C@H](OC(=O)[C@@H](C)[C@H](CCCC(C)(Cl)Cl)OC(=O)c2csc1n2)[C@@](C)(O)CC)OC(C)=O;CHEMBL;;;;;;
CHEMBL1224006;;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OCCCOCCCCc3cc4OCC(C)(C)N5C=C(C([O-])=O)C(=O)c(c3)c45)[C@H](C)O2)[C@H](C)[C@@H](O[C@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@](C)(O)C[C@@H](C)C[NH+](C)[C@H](C)[C@@H](O)[C@]1(C)O;CHEMBL;;;;;;
CHEMBL1224007;;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OCCCOCCCc3cc4OCC(C)(C)N5C=C(C([O-])=O)C(=O)c(c3)c45)[C@H](C)O2)[C@H](C)[C@@H](O[C@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@](C)(O)C[C@@H](C)C[NH+](C)[C@H](C)[C@@H](O)[C@]1(C)O;CHEMBL;;;;;;
CHEMBL1224008;;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OCCCOCCCc3cc4COCN5C=C(C([O-])=O)C(=O)c(c3)c45)[C@H](C)O2)[C@H](C)[C@@H](O[C@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@](C)(O)C[C@@H](C)C[NH+](C)[C@H](C)[C@@H](O)[C@]1(C)O;CHEMBL;;;;;;
CHEMBL1224009;;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OCCCOCCCc3cc4COC(C)(C)N5C=C(C([O-])=O)C(=O)c(c3)c45)[C@H](C)O2)[C@H](C)[C@@H](O[C@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@](C)(O)C[C@@H](C)C[NH+](C)[C@H](C)[C@@H](O)[C@]1(C)O;CHEMBL;;;;;;
CHEMBL1224010;;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OCCCOCCCCCc3ccc4N(C=C(C([O-])=O)C(=O)c4c3)N(C)C)[C@H](C)O2)[C@H](C)[C@@H](O[C@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@](C)(O)C[C@@H](C)C[NH+](C)[C@H](C)[C@@H](O)[C@]1(C)O;CHEMBL;;;;;;
CHEMBL1224011;;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OCCCOCCCCCc3ccc4N(CC)C=C(C([O-])=O)C(=O)c4c3)[C@H](C)O2)[C@H](C)[C@@H](O[C@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@](C)(O)C[C@@H](C)C[NH+](C)[C@H](C)[C@@H](O)[C@]1(C)O;CHEMBL;;;;;;
CHEMBL1224012;;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OCCCOCCCCc3ccc4N(C=C(C([O-])=O)C(=O)c4c3)N(C)C)[C@H](C)O2)[C@H](C)[C@@H](O[C@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@](C)(O)C[C@@H](C)C[NH+](C)[C@H](C)[C@@H](O)[C@]1(C)O;CHEMBL;;;;;;
CHEMBL1224013;;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OCCCOCCCCc3ccc4N(CC)C=C(C([O-])=O)C(=O)c4c3)[C@H](C)O2)[C@H](C)[C@@H](O[C@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@](C)(O)C[C@@H](C)C[NH+](C)[C@H](C)[C@@H](O)[C@]1(C)O;CHEMBL;;;;;;
CHEMBL1224014;;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OCCCOCCCCc3ccc4N(C=C(C([O-])=O)C(=O)c4c3)C3CC3)[C@H](C)O2)[C@H](C)[C@@H](O[C@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@](C)(O)C[C@@H](C)C[NH+](C)[C@H](C)[C@@H](O)[C@]1(C)O;CHEMBL;;;;;;
CHEMBL1224015;;CCCCN1C=C(C([O-])=O)C(=O)c2cc(CCCOCCCO[C@H]3[C@H](C)O[C@H](C[C@@]3(C)OC)O[C@H]3[C@H](C)[C@@H](O[C@H]4O[C@H](C)C[C@@H]([C@H]4O)[NH+](C)C)[C@](C)(O)C[C@@H](C)C[NH+](C)[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@@H]3C)ccc12;CHEMBL;;;;;;
CHEMBL1224016;;CCCN1C=C(C([O-])=O)C(=O)c2cc(CCCOCCCO[C@H]3[C@H](C)O[C@H](C[C@@]3(C)OC)O[C@H]3[C@H](C)[C@@H](O[C@H]4O[C@H](C)C[C@@H]([C@H]4O)[NH+](C)C)[C@](C)(O)C[C@@H](C)C[NH+](C)[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@@H]3C)ccc12;CHEMBL;;;;;;
CHEMBL1224017;;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OCCCOCCCc3ccc4N(CC[NH+](C)C)C=C(C([O-])=O)C(=O)c4c3)[C@H](C)O2)[C@H](C)[C@@H](O[C@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@](C)(O)C[C@@H](C)C[NH+](C)[C@H](C)[C@@H](O)[C@]1(C)O;CHEMBL;;;;;;
CHEMBL1224018;;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OCCCOCCCc3ccc4N(C=C(C([O-])=O)C(=O)c4c3)C(C)C)[C@H](C)O2)[C@H](C)[C@@H](O[C@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@](C)(O)C[C@@H](C)C[NH+](C)[C@H](C)[C@@H](O)[C@]1(C)O;CHEMBL;;;;;;
CHEMBL1224019;;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2CC(C)(OC)[C@@H](OCCCOCCCc3ccc4N(C=C(C([O-])=O)C(=O)c4c3)C(C)(C)C)[C@H](C)O2)[C@H](C)[C@@H](O[C@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@](C)(O)C[C@@H](C)C[NH+](C)[C@H](C)[C@@H](O)[C@]1(C)O;CHEMBL;;;;;;
CHEMBL1224020;;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OCCCOCCCc3ccc4N(C=C(C([O-])=O)C(=O)c4c3)N(C)C)[C@H](C)O2)[C@H](C)[C@@H](O[C@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@](C)(O)C[C@@H](C)C[NH+](C)[C@H](C)[C@@H](O)[C@]1(C)O;CHEMBL;;;;;;
CHEMBL1224021;;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OCCCOCCCc3ccc4N(CCOC)C=C(C([O-])=O)C(=O)c4c3)[C@H](C)O2)[C@H](C)[C@@H](O[C@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@](C)(O)C[C@@H](C)C[NH+](C)[C@H](C)[C@@H](O)[C@]1(C)O;CHEMBL;;;;;;
CHEMBL1224022;;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OCCCOCCCc3ccc4N(CC)C=C(C([O-])=O)C(=O)c4c3)[C@H](C)O2)[C@H](C)[C@@H](O[C@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@](C)(O)C[C@@H](C)C[NH+](C)[C@H](C)[C@@H](O)[C@]1(C)O;CHEMBL;;;;;;
CHEMBL1224023;;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OCCCOCCCc3ccc4N(C=C(C([O-])=O)C(=O)c4c3)C3CC3)[C@H](C)O2)[C@H](C)[C@@H](O[C@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@](C)(O)C[C@@H](C)C[NH+](C)[C@H](C)[C@@H](O)[C@]1(C)O;CHEMBL;;;;;;
CHEMBL122437;;O[C@@H]1[C@H](CC2CCCCC2)NC(=O)[C@H](COC(=O)CCC[C@H](CN2CCOCC2)OC1=O)NC(=O)[C@H](Cc1ccccc1)[NH2+]C1CN2CCC1CC2;CHEMBL;;;;;;
CHEMBL1224584;;CCCCCCCCO[C@H]1O[C@@H]2COC(=O)CCCCCCC(=O)O[C@H]2[C@H](O)[C@H]1O;CHEMBL;;;;;;
CHEMBL1224585;;CCCCCCCCO[C@H]1O[C@@H]2COC(=O)CC[C@@H]3O[C@@H]3CCC(=O)O[C@H]2[C@H](O)[C@H]1O;CHEMBL;;;;;;
CHEMBL1224587;;CCCCCCCCO[C@H]1O[C@@H]2COC(=O)CC\C=C\CCC(=O)O[C@H]2[C@H](OC)[C@H]1OC;CHEMBL;;;;;;
CHEMBL1224588;;CCCCCCCCO[C@H]1O[C@@H]2COC(=O)CC\C=C\CCC(=O)O[C@H]2[C@H](OCc2ccccc2)[C@H]1OCc1ccccc1;CHEMBL;;;;;;
CHEMBL1224598;;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC;CHEMBL;;;;;;
CHEMBL1224599;;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3OC(C)=O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC;CHEMBL;;;;;;
CHEMBL1224600;;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O[C@@H]3O[C@H](COC(=O)c4ccccc4)[C@@H](OC(=O)c4ccccc4)[C@H](OC(C)=O)[C@H]3OC(C)=O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC;CHEMBL;;;;;;
CHEMBL1224601;;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O[C@@H]3O[C@H](COC(=O)c4ccccc4)[C@@H](O)[C@H](O)[C@H]3OC(C)=O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC;CHEMBL;;;;;;
CHEMBL1224602;;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O[C@H]3O[C@H](COC(C)=O)[C@@H](OC(=O)c4ccccc4)[C@H](OC(C)=O)[C@H]3OC(C)=O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC;CHEMBL;;;;;;
CHEMBL1224603;;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@H]4O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]4O)[C@H](O)[C@H]3O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC;CHEMBL;;;;;;
CHEMBL1224604;;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc4cccnc34)C(=O)O[C@]12C)OC;CHEMBL;;;;;;
CHEMBL1224605;;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O[C@@H]3O[C@@H]4COC(O[C@H]4[C@H](O)[C@H]3O)c3ccccc3)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc4cccnc34)C(=O)O[C@]12C)OC;CHEMBL;;;;;;
CHEMBL1224606;;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc4ncccc34)C(=O)O[C@]12C)OC;CHEMBL;;;;;;
CHEMBL1224607;;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O[C@@H]3O[C@@H]4COC(O[C@H]4[C@H](O)[C@H]3O)c3ccccc3)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc4ncccc34)C(=O)O[C@]12C)OC;CHEMBL;;;;;;
CHEMBL1224775;;CCCCC(C)C1CC(O)CCC[C@H](O)C[C@@H](O)C[C@@H](O)CCCC(O)CCCC(O)CCCC(O)CCC[C@@H](O)C[C@@H](O)CCC\C(C)=C\C(=O)O1;CHEMBL;;;;;;
CHEMBL1224777;;CCCCC(C)C1C[C@@H](O)CCC[C@H](O)C[C@@H](O)C[C@@H](O)CCCC(O)CCCC(O)CCCC(O)CCCC(O)CC(O)CCC\C(C)=C\C(=O)O1;CHEMBL;;;;;;
CHEMBL1224858;;C[C@H]1CCCC[C@H](CCCC(Cl)Cl)c2c(O)cc(cc2O)[C@H](O)[C@@H](C)CCCC[C@H](CCCC(Cl)Cl)c2c(O)cc(cc2O)[C@@H]1O;CHEMBL;;;;;;
CHEMBL1224859;;C[C@H]1CCCC[C@H](CCCCCl)c2c(O)cc(cc2O)[C@H](O)[C@@H](C)CCCC[C@H](CCCC(Cl)Cl)c2c(O)cc(cc2O)[C@@H]1O;CHEMBL;;;;;;
CHEMBL1224860;;CCCC[C@H]1CCCC[C@H](C)[C@@H](O)c2cc(O)c([C@@H](CCCC(Cl)Cl)CCCC[C@H](C)[C@@H](O)c3cc(O)c1c(O)c3)c(O)c2;CHEMBL;;;;;;
