Drug;Neutral SMILES;SMILES at pH 7;Category;;;;;;
Dactinomycin;CC(C)C1NC(=O)C(NC(=O)C2=C3N=C4C(OC3=C(C)C=C2)=C(C)C(=O)C(N)=C4C(=O)NC5C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C6CCCN6C(=O)C(NC5=O)C(C)C)C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C7CCCN7C1=O;[H][C@@]12CCCN1C(=O)[C@H](NC(=O)[C@@H](NC(=O)C1=C3N=C4C(OC3=C(C)C=C1)=C(C)C(=O)C(N)=C4C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@]3([H])CCCN3C(=O)[C@H](NC1=O)C(C)C)[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C2=O)C(C)C;FDA-approved;;;;;;
Dalbavancin ;CC(C)CCCCCCCCC(=O)NC1C(C(C(OC1OC2=C3C=C4C=C2OC5=C(C=C(C=C5)C(C6C(=O)NC(C7=C(C(=CC(=C7)O)OC8C(C(C(C(O8)CO)O)O)O)C9=C(C=CC(=C9)C(C(=O)N6)NC(=O)C4NC(=O)C1C2=C(C(=CC(=C2)OC2=C(C=CC(=C2)C(C(=O)NC(CC2=CC=C(O3)C=C2)C(=O)N1)NC)O)O)Cl)O)C(=O)NCCCN(C)C)O)Cl)C(=O)O)O)O;C[NH2+][C@@H]1C2=CC(OC3=CC([C@@H]4NC(=O)[C@@H](CC5=CC=C(OC6=C(O[C@@H]7O[C@@H]([C@@H](O)[C@H](O)[C@H]7NC(=O)CCCCCCCCC(C)C)C([O-])=O)C7=CC(=C6)[C@@H](NC4=O)C(=O)N[C@@H]4C6=CC(=C(O)C=C6)C6=C(C=C(O)C=C6O[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]6O)[C@H](NC(=O)[C@@H](NC4=O)[C@H](O)C4=CC(Cl)=C(O7)C=C4)C(=O)NCCC[NH+](C)C)C=C5)NC1=O)=C(Cl)C([O-])=C3)=C(O)C=C2;FDA-approved;;;;;;
Dalfopristin;[H][C@@]1(C)\C=C\C(=O)NC\C=C\C(C)=C\[C@@H](O)CC(=O)CC2=NC(=CO2)C(=O)N3C[C@@]([H])(C(=O)O[C@]1([H])C(C)C)[C@]([H])(C3)S(=O)(=O)CCN(CC)CC;CC[NH+](CC)CCS(=O)(=O)[C@@H]1CCN2[C@H]1C(=O)O[C@H](C(C)C)[C@H](C)\C=C\C(=O)NC\C=C\C(\C)=C\[C@@H](O)CC(=O)CC1=NC(=CO1)C2=O;FDA-approved;;;;;;
Daptomycin;CCCCCCCCCC(=O)NC(CC1=CNC2=C1C=CC=C2)C(=O)NC(CC(N)=O)C(=O)NC(CC(O)=O)C(=O)NC3C(C)OC(=O)C(CC(=O)C4=C(N)C=CC=C4)NC(=O)C(NC(=O)C(CO)NC(=O)CNC(=O)C(CC(O)=O)NC(=O)C(C)NC(=O)C(CC(O)=O)NC(=O)C(CCCN)NC(=O)CNC3=O)C(C)CC(O)=O;CCCCCCCCCC(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC([O-])=O)C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](CC(=O)C2=CC=CC=C2N)NC(=O)[C@@H](NC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@H](CC([O-])=O)NC(=O)[C@@H](C)NC(=O)[C@H](CC([O-])=O)NC(=O)[C@H](CCC[NH3+])NC(=O)CNC1=O)[C@H](C)CC([O-])=O;FDA-approved;;;;;;
Desmopressin ;NC(=N)NCCC[C@H](NC(=O)[C@H]1CCCN1C(=O)[C@@H]2CSSCCC(=O)N[C@H](CC3=CC=C(O)C=C3)C(=O)N[C@@H](CC4=CC=CC=C4)C(=O)N[C@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N2)C(=O)NCC(N)=O;NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)NCC(N)=O;FDA-approved;;;;;;
Dirithromycin ;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)[C@@H]4N[C@@H](COCCOC)O[C@H](C4C)[C@]1(C)O;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@](C)(O)C[C@@H](C)[C@@H]2[NH2+][C@@H](COCCOC)O[C@H]([C@H]2C)[C@]1(C)O;FDA-approved;;;;;;
Eptifibatide;NC(=N)NCCCCC1NC(=O)CCSSCC(NC(=O)C2CCCN2C(=O)C(CC3=CNC4=CC=CC=C34)NC(=O)C(CC(O)=O)NC(=O)CNC1=O)C(N)=O;NC(N)=[NH+]CCCC[C@@H]1NC(=O)CCSSC[C@H](NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC2=CNC3=CC=CC=C23)NC(=O)[C@H](CC([O-])=O)NC(=O)CNC1=O)C(N)=O;FDA-approved;;;;;;
Eribulin;CO[C@H]1[C@@H](C[C@H](O)CN)O[C@H]2C[C@H]3O[C@H](CC[C@@H]4O[C@@H](CC[C@@]56C[C@@H]7O[C@@H]8[C@@H](O[C@H]9CC[C@H](CC(=O)C[C@H]12)O[C@@H]9[C@@H]8O5)[C@H]7O6)CC4=C)C[C@@H](C)C3=C;[H][C@@]12CC(=C)[C@]([H])(CC[C@@]3([H])C[C@@H](C)C(=C)[C@@]([H])(C[C@]4([H])O[C@H](C[C@H](O)C[NH3+])[C@H](OC)[C@@]4([H])CC(=O)C[C@@]4([H])CC[C@]5([H])O[C@@]6([H])[C@H]7O[C@@]8(C[C@]7([H])O[C@@]6([H])[C@@]([H])(O8)[C@@]5([H])O4)CC1)O3)O2;FDA-approved;;;;;;
Erythromycin;CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O;FDA-approved;;;;;;
Everolimus;[H]OCCOC1CC[C@H](C[C@@H](C)[C@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O[H])[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)C(O[H])(O3)C(=O)C(=O)N4CCCC[C@H]4C(=O)O2)OC)C[C@H]1OC;[H][C@@]1(C[C@@H](C)[C@]2([H])CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@]3([H])CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@@]3([H])C(=O)O2)OC)CC[C@@H](OCCO)[C@@H](C1)OC;FDA-approved;;;;;;
