2025-08-10 06:44:21,859 - Rank 6 - Starting training on rank 6
2025-08-10 06:58:59,601 - Rank 6 - Starting training
2025-08-10 08:18:26,217 - Rank 6 - Validation Loss: 0.6236, Validation Accuracy: 0.7607
2025-08-10 08:20:23,300 - Rank 6 - Train Loss: 0.6692, Train Accuracy: 0.7436
2025-08-10 08:20:33,637 - Rank 6 - Validation Loss: 0.6124, Validation Accuracy: 0.7647
2025-08-10 08:22:30,465 - Rank 6 - Train Loss: 0.6623, Train Accuracy: 0.7457
2025-08-10 08:22:40,848 - Rank 6 - Validation Loss: 0.6084, Validation Accuracy: 0.7658
2025-08-10 08:24:42,081 - Rank 6 - Train Loss: 0.6549, Train Accuracy: 0.7479
2025-08-10 08:24:52,057 - Rank 6 - Validation Loss: 0.5986, Validation Accuracy: 0.7690
2025-08-10 08:26:58,280 - Rank 6 - Train Loss: 0.6499, Train Accuracy: 0.7497
2025-08-10 08:27:08,609 - Rank 6 - Validation Loss: 0.5967, Validation Accuracy: 0.7692
2025-08-10 08:29:10,471 - Rank 6 - Train Loss: 0.6424, Train Accuracy: 0.7518
2025-08-10 08:29:20,964 - Rank 6 - Validation Loss: 0.5858, Validation Accuracy: 0.7736
2025-08-10 08:31:23,823 - Rank 6 - Train Loss: 0.6382, Train Accuracy: 0.7534
2025-08-10 08:31:34,887 - Rank 6 - Validation Loss: 0.5890, Validation Accuracy: 0.7713
2025-08-10 08:33:40,665 - Rank 6 - Train Loss: 0.6308, Train Accuracy: 0.7560
2025-08-10 08:33:51,079 - Rank 6 - Validation Loss: 0.5619, Validation Accuracy: 0.7818
2025-08-10 08:35:56,414 - Rank 6 - Train Loss: 0.6253, Train Accuracy: 0.7580
2025-08-10 08:36:07,193 - Rank 6 - Validation Loss: 0.5633, Validation Accuracy: 0.7806
2025-08-10 08:38:12,977 - Rank 6 - Train Loss: 0.6203, Train Accuracy: 0.7593
2025-08-10 08:38:23,623 - Rank 6 - Validation Loss: 0.5687, Validation Accuracy: 0.7780
2025-08-10 08:40:28,421 - Rank 6 - Train Loss: 0.6127, Train Accuracy: 0.7622
2025-08-10 08:40:38,612 - Rank 6 - Validation Loss: 0.5534, Validation Accuracy: 0.7841
2025-08-10 08:42:46,384 - Rank 6 - Train Loss: 0.6073, Train Accuracy: 0.7637
2025-08-10 08:42:55,365 - Rank 6 - Validation Loss: 0.5472, Validation Accuracy: 0.7855
2025-08-10 08:44:49,466 - Rank 6 - Train Loss: 0.6049, Train Accuracy: 0.7650
2025-08-10 08:45:00,211 - Rank 6 - Validation Loss: 0.5490, Validation Accuracy: 0.7848
2025-08-10 08:46:56,890 - Rank 6 - Train Loss: 0.5962, Train Accuracy: 0.7673
2025-08-10 08:47:07,287 - Rank 6 - Validation Loss: 0.5411, Validation Accuracy: 0.7877
2025-08-10 08:49:05,230 - Rank 6 - Train Loss: 0.5931, Train Accuracy: 0.7686
2025-08-10 08:49:16,154 - Rank 6 - Validation Loss: 0.5358, Validation Accuracy: 0.7897
2025-08-10 08:51:20,025 - Rank 6 - Train Loss: 0.5900, Train Accuracy: 0.7698
2025-08-10 08:51:30,494 - Rank 6 - Validation Loss: 0.5313, Validation Accuracy: 0.7908
2025-08-10 08:53:43,380 - Rank 6 - Train Loss: 0.5839, Train Accuracy: 0.7716
2025-08-10 08:53:53,984 - Rank 6 - Validation Loss: 0.5315, Validation Accuracy: 0.7907
2025-08-10 08:55:59,317 - Rank 6 - Train Loss: 0.5800, Train Accuracy: 0.7732
2025-08-10 08:56:09,824 - Rank 6 - Validation Loss: 0.5307, Validation Accuracy: 0.7907
2025-08-10 08:58:40,944 - Rank 6 - Train Loss: 0.5751, Train Accuracy: 0.7747
2025-08-10 08:58:50,924 - Rank 6 - Validation Loss: 0.5144, Validation Accuracy: 0.7974
2025-08-10 09:00:58,793 - Rank 6 - Train Loss: 0.5706, Train Accuracy: 0.7765
2025-08-10 09:01:09,076 - Rank 6 - Validation Loss: 0.5106, Validation Accuracy: 0.7981
2025-08-10 09:03:15,083 - Rank 6 - Train Loss: 0.5677, Train Accuracy: 0.7773
2025-08-10 09:03:25,302 - Rank 6 - Validation Loss: 0.5048, Validation Accuracy: 0.8005
2025-08-10 09:05:28,237 - Rank 6 - Train Loss: 0.5605, Train Accuracy: 0.7802
2025-08-10 09:05:39,052 - Rank 6 - Validation Loss: 0.5019, Validation Accuracy: 0.8015
2025-08-10 09:07:43,351 - Rank 6 - Train Loss: 0.5587, Train Accuracy: 0.7805
2025-08-10 09:07:54,123 - Rank 6 - Validation Loss: 0.5013, Validation Accuracy: 0.8011
2025-08-10 09:09:56,977 - Rank 6 - Train Loss: 0.5534, Train Accuracy: 0.7822
2025-08-10 09:10:07,477 - Rank 6 - Validation Loss: 0.4958, Validation Accuracy: 0.8030
2025-08-10 09:12:11,776 - Rank 6 - Train Loss: 0.5517, Train Accuracy: 0.7828
2025-08-10 09:12:22,291 - Rank 6 - Validation Loss: 0.4982, Validation Accuracy: 0.8023
2025-08-10 09:14:23,065 - Rank 6 - Train Loss: 0.5498, Train Accuracy: 0.7834
2025-08-10 09:14:33,705 - Rank 6 - Validation Loss: 0.4951, Validation Accuracy: 0.8028
2025-08-10 09:16:36,989 - Rank 6 - Train Loss: 0.5428, Train Accuracy: 0.7855
2025-08-10 09:16:46,938 - Rank 6 - Validation Loss: 0.4949, Validation Accuracy: 0.8033
2025-08-10 09:18:52,878 - Rank 6 - Train Loss: 0.5410, Train Accuracy: 0.7864
2025-08-10 09:19:03,957 - Rank 6 - Validation Loss: 0.4798, Validation Accuracy: 0.8089
